custom_id,label,cause,effect,speechText,textEN,speechLanguage,Year,speakerParty,speakerPolGroup,speakerCountry,climate,health,intersection,token_length,sentence_count,has_climate_terms,has_health_terms
0,0,,,"  – Mr President, as we can see, rising RSV, and cases of flu and corona have created enormous pressures on our health systems across Europe. And they’ve also highlighted a gap in terms of supply of essential medicines. The number of out—of—stock medicines in Ireland has risen to over 200 this week, and this is also in line with a pan-European shortage of critical elements that require a pan-European response. We need to evaluate our methods of procurement, purchasing, storage and distribution of these key medicines, and we need to move towards increasing domestic production in Europe to reduce our dependency on imports. Member States, led by the Commission, need to discuss common procurement, as we did during the pandemic. The people of Europe benefited from the common purchase of vaccines and they want to see this type of approach as well. As one speaker has said, we need to see more Europe in this area, a European approach now, to benefit all of our citizens.","Member States, led by the Commission, need to discuss common procurement, as we did during the pandemic.",EN,2023,Fine Gael Party,EPP,Ireland,0,2,0,25,7,FALSE,TRUE
1,1,temperatures are rising,stop green progress and spread more venom in our nature,"  – Hr. formand! Europa skal være verdens grønneste kontinent. Vi skal have et Europa, der kører på grøn energi, passer på planeten og genopretter naturen i stedet for at smadre den. Vi skal være dem, der sætter klimabarren højest, så resten af verden er nødt til at følge med. Men der er nogen, der prøver at stoppe os. Nemlig de Konservative og den liberale gruppe med Venstre, Radikale Venstre og Moderaterne. Mens temperaturerne stiger, vil de stoppe grønne fremskridt og sprede mere gift i vores natur. De vil afløse Europas miljølov, udvande den første naturlov i EU nogensinde. De vil tillade farlig kemi, så vi ikke kan få de børn, vi drømmer om. Venstre har stemt nej til at beskytte naturen og jorden mod sprøjtegift. Radikale har også stemt nej til mindre gift i naturen, og de har fjernet de få miljøkrav, der er til landbruget. De sidste fem år har jeg siddet i den grønneste parlamentsgruppe i EU. Vi har nået meget, men fremskridtene er under pres. Derfor er det afgørende, at vi alle kommer ned og stemmer den niende juni for et grønt Europa, der fortsætter fremskridtene.","As temperatures are rising, they will stop green progress and spread more venom in our nature.",DA,2024,Socialistisk Folkeparti,Group of the Greens/European Free Alliance,Denmark,1,0,0,20,14,TRUE,FALSE
2,1,vaccines,"reduce hospitalisations, morbidity and mortality","  – Madam President, vaccines work, vaccines reduce hospitalisations, morbidity and mortality. We must follow the scientific evidence. Data released from the ECDC and the Commission, on vaccination rates in the EU – just yesterday, shows a strong and undisputed correlation and causation as a result of the vaccines. The higher the vaccination rate in the Member State, the lower the death rate; fact. The EU is clearly leading the way in global vaccine equity, despite ill-informed commentary from some. We have much more to do, as many colleagues have said here today, and we must accelerate what we are doing. But we have pledged to share at least 500 million doses with the most vulnerable countries by mid-2022.  But to succeed in a global vaccination strategy, we need the public and private sectors working together. Fair public-private partnerships offer one of the best guarantees to increase production, supply and distribution of vaccines all over the world.  I support the EU target of reaching a global vaccination rate of 70% by next year, but let’s try and beat that target and go even further. Let’s encourage other countries and global players, including pharmaceutical companies, to export and donate every available vial of the vaccine. To reach this target, we cannot take a soft stance on fake news and conspiracy theories. Make no mistake, this vaccine misinformation battle is a battle for the health of our citizens, and I call on all Member States to implement clear, public-led, targeted outreach campaigns to all unvaccinated groups. We cannot allow populism to triumph over science. COVID-19 has served as an important reminder that we need to transform our global health architecture. The only chance of beating this global pandemic is by continuing to work together and sharing vaccines. That is the right and just thing to do.","Madam President, vaccines work, vaccines reduce hospitalisations, morbidity and mortality.",EN,2021,Fine Gael Party,EPP,Ireland,0,5,0,21,17,FALSE,TRUE
3,0,,,"  – Senhor Presidente, Senhor Primeiro-Ministro António Costa, Senhora Presidente da Comissão, a Presidência portuguesa começa hoje sobre o signo de um profundo pesar e de uma janela de esperança. Janela de esperança pela campanha de vacinação, profundo pesar pelo número de mortos na Europa, agora trágico também em Portugal. Na pessoa do Primeiro-Ministro presto tributo a todos eles e às suas famílias, agradeço emocionado aos profissionais de saúde. Falando de saúde. Tem algum plano para coordenar as respostas dos governos em sede de medidas de restrição? Se no Natal se tivesse optado pela coordenação e se tivesse seguido os exemplos francês, alemão e italiano, os números em Portugal não seriam tão trágicos. Agora já está disposto a apostar nessa coordenação? Falando de economia, com os efeitos terríveis desta vaga, vai propor um programa de emergência que apoie os setores mais afetados no curto prazo, emprego jovem, turismo, restauração?  Quanto ao Fundo de Recuperação, que vai fazer para garantir que o dinheiro é bem aplicado? Essa é, aliás, uma das funções da Procuradoria Europeia, combater a fraude e a corrupção de fundos europeus. Não lhe farei perguntas sobre isso porque há um debate de urgência que, a pedido do governo, foi adiado de ontem para hoje.  Assim sendo, e como está cá, lanço o desafio. Represente em pessoa o Conselho nesse debate. É o local próprio para se explicar e congratulo-me por, afinal, se ter convertido à Conferência sobre o Futuro da Europa depois de tanto a ter desvalorizado em dezembro de 2019 e ao longo do primeiro semestre de 2020. Finalmente, uma nota pessoal. Nós que nos conhecemos e convivemos há tantos anos, com respeito, afabilidade e sentido democrático. Está na Casa da democracia europeia de que foi membro. Aqui, olhos nos olhos, diga-nos acha mesmo que deputados de todos os partidos e de todos os Estados-Membros alinharam numa conspiração internacional contra Portugal, o Estado e o Governo português? Tem mesmo coragem de repetir aqui que isso foi montado diante de todos? Acredite, os deputados do PSD estarão sempre ao lado de Portugal e da Europa. Vou trabalhar para que Portugal e o Governo português tenham sucesso, mas vou trabalhar como sempre, sem medo de ameaças, sem medo de intimidações.","In the person of the Prime Minister I provide tribute to all of them and their families, I thank the health professionals.",PT,2021,Partido Social Democrata,EPP,Portugal,0,2,0,26,21,FALSE,TRUE
4,0,,,"  – Madame la Présidente, Madame la Commissaire, de toute évidence aucune frontière ne peut stopper une pandémie. De la même façon, aucun mur ne peut arrêter une catastrophe naturelle. La menace est mondiale, il faut donc des solutions globales.  La santé humaine est directement connectée à la santé environnementale, et c’est bien là que l’Europe a un rôle à jouer avec l’aide au développement. Il faut renforcer nos coopérations: coopération pour les infrastructures de santé, coopération pour la recherche médicale, coopération pour le partage de solutions.  De toute évidence, si la planète est malade, nous serons tous malades. Il faut donc travailler ensemble, travailler plus, travailler mieux. Nous sommes déjà très en retard.","We must strengthen our cooperation: cooperation for health infrastructure, cooperation for medical research, cooperation for the sharing of solutions.",FR,2023,La République en marche,Renew,France,0,4,0,25,8,FALSE,TRUE
5,0,,,"  – Poštovana gospođo potpredsjednice, prvo bih iskoristio ovu priliku da iskažem svoje suosjećanje sa svim onima pogođenim ovim virusom, a isto tako i podršku svim zdravstvenim radnicima u cijeloj Europi u svijetu koji se bore protiv ove bolesti.  Radi se o golemom problemu kako humanitarnom s više od 500 smrtnih slučajeva samo u Europi, više od petnaest tisuća zaraženih do sada, ali o nečemu što već sada ostavlja goleme i vrlo teške posljedice na gospodarstvo svih država članica, a nekih više nego drugih. Europska unija napravila je s obzirom na sve okolnosti ono što je mogla, kako Komisija tako i Hrvatska predsjedanjem Vijećem.  Međutim, ono što je pokazala ova kriza je to da nam je potrebna europska zdravstvena politika. Činjenica da članak 168. Ugovora ograničava europske ovlasti u ovom smislu, ali vjerujem da se i u okviru sadašnjih ovlasti može napraviti dosta, ali isto tako i da je potrebno razmišljati i o povećanju ovlasti Europske unije u području zdravstva. Mislim prvenstveno na zajedničke protokole. Mislim na veća ulaganja u istraživanje i razvoj. Isto tako, i ono što je spomenuto već prije rasprave, a to je ujednačavanje standarda pružanja zdravstvene zaštite u različitim državama. Ti standardi su danas jako različiti ovisno o financijskim mogućnostima, a mislim da Europska unija može učiniti mnogo kroz svoje financijske instrumente, kroz proračun, kroz Europsku investicijsku banku kako bi pomogla državama članicama da svi građani Europske unije imaju isti standard zdravstvene zaštite.  I na kraju, ono što je posebno bitno jest iskazati solidarnost s onima najteže pogođenima kako s Italijom, ali i s drugim državama koje će pretrpjeti veliku štetu. Tu spada i moja država Hrvatska koja već sada u turizmu, koji je jako važan za njeno gospodarstvo, trpi velike štete tako da nam je potrebna europska solidarnost. Pokažimo da Europska unija može učiniti razliku i pomoći svim građanima Europe. ","Likewise, what was mentioned before the discussion, which is to comprehend the standard of providing health care in different countries.",HR,2020,Hrvatska demokratska zajednica,Group of the European People's Party (Christian Democrats),Croatia,0,8,0,25,12,FALSE,TRUE
6,0,,,"  – Mr President, this legislation should be about setting adequate standards to improve public health and save lives. Yet the right-wing groups instead want to limit costs for car manufacturers. It’s estimated that pollution from road transport causes 70 000 premature deaths every year in the EU, as the Commissioner herself highlighted. Yet some groups want to put the interests of big business ahead of the health of the ordinary people of Europe. The Commission proposal already lacked the necessary ambition, but the right wing weakened the text even further at the ENVI Committee. A report by the International Council on Clean Transportation showed that China’s emissions limit values are nearly twice as stringent as the Euro 7 proposal, and the US limits are nearly three times as stringent. The car industry is taking home record profits and paying out massive amounts of money to shareholders. If they wanted to pay for cleaner cars, they quite well could.",Yet some groups want to put the interests of big business ahead of the health of the ordinary people of Europe.,EN,2023,Independents for change,GUE/NGL,Ireland,0,2,0,24,8,FALSE,TRUE
8,0,,,"  – Frau Präsidentin, Herr Kommissar, Herr Staatssekretär! Die Situation in der Ukraine ist dramatisch, nicht nur für das Leben der Menschen, sondern auch für die Landwirtschaft. Die Ukrainerinnen und Ukrainer kämpfen tagsüber für ihre Freiheit und nachts für ihre Ernährungssicherheit. Niemand von uns kann sich vorstellen, welches Leid vor Ort gerade herrscht. Und wir müssen helfen – wir müssen helfen, wo wir helfen können. Auch die weltweiten Folgen des Krieges auf die Versorgungssicherheit sind bedeutend. Das Welternährungsprogramm warnt vor einer Hungerkrise, wie wir sie noch nie zuvor gesehen haben. In der jetzigen Lage haben wir nicht die Wahl zwischen Brot und Kuchen. Viele haben verstanden, dass es jetzt darum geht, andere Weltregionen mit den notwendigen Rohstoffen zu versorgen. Wir haben eine globale Verantwortung, insbesondere für unsere Nachbarschaft. Ich begrüße deshalb die Vorschläge der Kommission, jetzt die Ernährungssicherheit und die Produktion an erste Priorität zu setzen. Wir müssen aber auch schon an 2023 denken – nicht nur für uns, für unsere Ernährungssicherheit in Europa, sondern für unsere Partner, und gegen Putin, der Hunger als Waffe einsetzt. Ich wiederhole es zum Schluss noch einmal: Jede Tonne Weizen in Europa, die mehr angebaut wird, ist eine Tonne gegen Putin und für die Demokratie und Freiheit.",The world nutrition program warns of a hunger crisis that we have never seen before.,DE,2022,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),Germany,0,8,0,18,13,FALSE,TRUE
10,0,,,"  – Monsieur le Président, je n’ai eu de cesse de le répéter tout au long de mon mandat: l’avenir de l’Europe, c’est la jeunesse d’aujourd’hui qui doit l’écrire. Pour permettre à nos jeunesses de prendre pleinement leur part dans le projet européen, les professeurs ont un rôle déterminant. L’éducation est la clé de voûte qui soutient l’avenir de nos jeunes Européens. Plus que jamais, nous devons investir dans l’éducation pour nos jeunes, bâtir avec eux la citoyenneté européenne de demain et renforcer leur sentiment d’appartenance pour assurer le développement et la pérennité de notre projet européen.  Les professeurs sont les hussards de nos démocraties, les hussards de notre Europe, les vecteurs de l’émancipation de nos jeunesses. Mais ce n’est pas tout de le dire, il faut légitimer cette ambition par des actes concrets, en leur donnant la juste place qui leur revient dans nos projets de société et en leur donnant pleinement les moyens de mener à bien ces missions majeures pour l’avenir de notre jeunesse. Bien trop souvent encore, leur mission et leur rôle sont sous-estimés, et leurs conditions de travail continuent de se dégrader. Pourtant, malgré ces obstacles, nos enseignants restent dévoués à leur mission, à l’image de leur engagement exemplaire durant la pandémie, caractérisé par la créativité et la pugnacité.  Ensemble, engageons-nous à investir massivement dans l’éducation de notre jeunesse en permettant enfin à nos professeurs de remplir leur mission dans des conditions dignes, attrayantes et ambitieuses. C’est aussi un professeur qui vous le dit aujourd’hui. ","The teachers are the hussars of our democracies, the hussars of our Europe, the vectors of the emancipation of our youth.",FR,2024,Renaissance,Renew,France,0,3,0,32,10,FALSE,TRUE
11,1,"The problems arising from the beginning of the pandemic in the service, transport and tourism sector",strongly affect the economy and millions of our fellow citizens,"  – Poštovana predsjedavajuća, više od godinu dana od početka pandemije vjerujem da covid potvrda može pomoći građanima Unije da ponovno koriste svoje pravo slobode kretanja u punom smislu. Ona predstavlja poboljšanje u odnosu na trenutnu situaciju budući da olakšava kretanje, a ne predstavlja preduvjet za prelazak granice. Također treba naglasiti da potvrda ne dijeli građane na one prvog i drugog reda obzirom da obuhvaća cijepljene osobe, one koje su preboljele covid-19 te osobe s negativnim testom.  Za razliku od inicijalnog prijedloga, mi u Parlamentu inzistiramo da potvrda predstavlja stvarnu garanciju slobodnog kretanja, da države članice ne mogu osobama s potvrdom nametnuti dodatna ograničenja poput samo izolacije. U suprotnom, ona bi naprosto izgubila svaki smisao.  Posebno je važno da potvrda bude u primjeni prije početka ljeta kako bi omogućila građanima jednostavniji prelazak granica europskih država. Više ne smijemo gubiti vrijeme. Problemi koji su nastali od početka pandemije u uslužnom, transportnom i turističkom sektoru snažno utječu na gospodarstvo i milijune naših sugrađana. Oni si jednostavno ne mogu priuštiti gubitak još jednog ljeta. Ovo je test na kojem kredibilitet Europske unije prolazi ili pada. ","The problems arising from the beginning of the pandemic in the service, transport and tourism sector strongly affect the economy and millions of our fellow citizens.",HR,2021,Hrvatska demokratska zajednica,Group of the European People's Party (Christian Democrats),Croatia,0,2,0,32,10,FALSE,TRUE
