custom_id,label_x,cause,effect,original_row_id,climate,health,intersection,date,text,replies,link,handle,n_replies,n_reposts,n_likes,n_bookmarks,n_views,language,text_en,original_row_id.1,name,Portfolio,Term Start,Term End,personal_twitter,institutional_twitter,label_y
0,0,,,31855,1,0,0,2022-06-08,"#EPlenary adopts its position on targets and rules for reducing greenhouse gas emissions in the Effort Sharing Regulation, part of the #fitfor55 –package.
 
437 142 40
 
More details and quote by rapporteur 
@jessicapolfjard
 in press release","7 reposts, 5 likes, 1 bookmark",,EP_Environment,,7.0,5.0,1.0,,en,"#EPlenary adopts its position on targets and rules for reducing greenhouse gas emissions in the Effort Sharing Regulation, part of the #fitfor55 –package.
 
437 142 40
 
More details and quote by rapporteur 
@jessicapolfjard
 in press release",,,,,,,,1
1,0,,,65264,1,0,0,2023-03-01,"7th High-Level meeting of European Battery Alliance

The #batteries value chain symbolises the challenges our industry is facing.

Our industrial plan will be an “acceleration shock” and build on:

 Net Zero Industry Act
 Critical Raw Materials Act
 Sovereignty Fund","10 replies, 33 reposts, 96 likes, 3 bookmarks, 13015 views",https://x.com/ThierryBreton/status/1630981122833121321/photo/1,ThierryBreton,10.0,33.0,96.0,3.0,13015.0,en,"7th High-Level meeting of European Battery Alliance

The #batteries value chain symbolises the challenges our industry is facing.

Our industrial plan will be an “acceleration shock” and build on:

 Net Zero Industry Act
 Critical Raw Materials Act
 Sovereignty Fund",191857.0,,,,,,,1
2,1,climate change,affecting our planet,64763,1,0,0,2022-01-04,"Antarctica: a magical part of our planet that not many people have seen!  Someone who has been is sharing with us how climate change is affecting our planet. 
 
Listen to Kristap’s story about his work studying glaciers, so important for all of us!  

#FacesOfEurope",,,Europarl_CY,,,,,,en,"Antarctica: a magical part of our planet that not many people have seen!  Someone who has been is sharing with us how climate change is affecting our planet. 
 
Listen to Kristap’s story about his work studying glaciers, so important for all of us!  

#FacesOfEurope",,,,,,,,1
3,1,Kristapp participated in Latvia's first research mission to Antarctic glaciers thanks to EU resources,his research helps fight climate change,70510,1,0,0,2022-08-18,"Ο ρόλος των παγετώνων  είναι κρίσιμος για τον πλανήτη μας 

 Το 2018, ο Κρίσταψ συμμετείχε στην πρώτη ερευνητική αποστολή της Λετονίας  σε παγετώνες της Ανταρκτικής χάρη σε πόρους της ΕΕ.

Δείτε πώς η έρευνά του βοηθά στην καταπολέμηση της κλιματικής αλλαγής  ","1 repost, 2 likes",,Europarl_EL,,1.0,2.0,,,el,"The role of glaciers is critical to our planet 

 In 2018, Kristapp participated in Latvia's first research mission to Antarctic glaciers thanks to EU resources.

See how his research helps fight climate change",,,,,,,,1
4,0,,,18993,1,0,0,2023-10-21,"Minister 
@diegopardow
 and I discussed the global targets for tripling renewable energy and doubling energy efficiency, linked to the phaseout of unabated fossil fuels. 

Chile is already trailblazing on the deployment of green hydrogen and an important partner for the EU.","2 replies, 1 like, 351 views",,WBHoekstra,2.0,,1.0,,351.0,en,"Minister 
@diegopardow
 and I discussed the global targets for tripling renewable energy and doubling energy efficiency, linked to the phaseout of unabated fossil fuels. 

Chile is already trailblazing on the deployment of green hydrogen and an important partner for the EU.",,Wopke Hoekstra,Climate Action,09/10/2023,30/11/2024,@WBHoekstra,@EU_Commission,1
5,0,,,38088,1,1,1,2022-05-09,"I want #Europe to lead.

In areas such as defence, energy, climate change, health, economy, migration, equality & solidarity.

Following citizens' proposals for Conference on the Future of Europe, next step is a convention.

#CoFoE #TheFutureIsYours #EuropeDay #EuropeDay2022","38 replies, 157 reposts, 541 likes, 3 bookmarks",,EP_President,38.0,157.0,541.0,3.0,,en,"I want #Europe to lead.

In areas such as defence, energy, climate change, health, economy, migration, equality & solidarity.

Following citizens' proposals for Conference on the Future of Europe, next step is a convention.

#CoFoE #TheFutureIsYours #EuropeDay #EuropeDay2022",,,,,,,,1
6,0,,,93168,1,1,1,2022-01-07,"ES pilsoņu paneļdiskusijas Konferences par Eiropas nākotni ietvaros turpinās arī 2022. gadā – pieslēdzies debatēm Polijā & tiešsaistē šodien 10:15 pēc  laika: http://eptwitter.eu/tresaisposms
Piedalīsies arī Latvijas pārstāvji.
 Fokusā klimata pārmaiņas & veselība.
#NākotnePiederTev","1 reply, 3 reposts, 2 likes",https://x.com/Europarl_LV/status/1479362174942433280/photo/1,Europarl_LV,1.0,3.0,2.0,,,lv,"The EU Citizens' Panel Discussion Conferences on the Future of Europe will continue in 2022 - connect to Poland debate today at 10:15 pm: http://eptwitter.eu/tresaisaisposms
Representatives of Latvia will also participate.
 Focus climate change & health.
#Future Nodertev",,,,,,,,1
7,1,"Climate change, the disappearance of biodiversity, or material, financial indebtedness",living at the expense of the future,190646,1,0,0,2022-01-01,"""Ilmastonmuutos, luonnon monimuotoisuuden katoaminen tai materiaalinen, rahallinen velkaantuminen kertovat elämisestämme tulevaisuuden kustannuksella. Sellainen ei voi olla meidän sukupolviemme testamentti. Muutetaan sitä.""
 
- Presidentti 
@Niinisto
 uudenvuodenpuheessa #uvp2022","41 reposts, 380 likes, 2 bookmarks",,TPKanslia,,41.0,380.0,2.0,,fi,"""Climate change, the disappearance of biodiversity, or material, financial indebtedness tell us about our living at the expense of the future. This cannot be the will of our generations. Let's change it.""
 
- President 
@Niinisto
 In New Year's Speech #UVP2022",,,,,,,,1
8,0,,,66540,1,1,1,2022-02-09,"@EP_President
 Roberta Metsola hat live in den sozialen Medien Fragen zu Gesundheit, Klimawandel und Ungleichheit beantwortet. Erfahrt, was sie zu sagen hatte ",,,Europarl_DE,,,,,,de,"@Ep_president
 Roberta Metsola answered questions about health, climate change and inequality on social media. Learn what she had to say",,,,,,,,1
9,0,,,82023,1,0,0,2022-01-26,"#Eurobaromètre : les Européens considèrent le changement climatique comme le principal défi pour l’UE.

Le Parlement et la Commission ont publié conjointement une enquête spéciale au sujet de la vision des citoyens sur l'avenir de l'Europe ","7 reposts, 7 likes",,Europarl_FR,,7.0,7.0,,,fr,"#Eurobarometer: Europeans consider climate change as the main challenge for the EU.

Parliament and the Commission jointly published a special survey on the vision of citizens on the future of Europe",,,,,,,,1
10,1,Forests absorbing the CO2 of the atmosphere,Forests play a crucial role in the fight against climate change,100921,1,0,0,2022-05-20,"As florestas desempenham um papel crucial na luta contra as alterações climáticas, absorvendo o CO2 da atmosfera. 

Lê mais sobre a cobertura florestal nos países da UE e os planos da UE para reforçar o papel destas como reservatórios de carbono ","1 repost, 4 likes",,Europarl_PT,,1.0,4.0,,,pt,"Forests play a crucial role in the fight against climate change, absorbing the CO2 of the atmosphere. 

More about forest cover in EU countries and EU plans to reinforce their role as carbon reservoirs",,,,,,,,1
